,ds,y,src
3037,1925-09-01,-0.13,training
641,1925-10-01,-0.17,training
240,1925-11-01,0.03,training
2317,1925-12-01,0.11,training
1700,1926-01-01,0.2,training
2396,1926-02-01,0.07,training
2121,1926-03-01,0.12,training
3097,1926-04-01,-0.15,training
2764,1926-05-01,-0.25,training
545,1926-06-01,-0.25,training
1597,1926-07-01,-0.21,training
415,1926-08-01,-0.11,training
2008,1926-09-01,-0.11,training
97,1926-10-01,-0.11,training
1074,1926-11-01,-0.06,training
2552,1926-12-01,-0.30000000000000004,training
2551,1927-01-01,-0.28,training
902,1927-02-01,-0.21,training
1053,1927-03-01,-0.39,training
386,1927-04-01,-0.31,training
868,1927-05-01,-0.25,training
2812,1927-06-01,-0.27,training
1429,1927-07-01,-0.15,training
3202,1927-08-01,-0.19,training
2099,1927-09-01,-0.06,training
215,1927-10-01,-0.01,training
499,1927-11-01,-0.04,training
309,1927-12-01,-0.36,training
2098,1928-01-01,-0.04,training
138,1928-02-01,-0.12,training
1662,1928-03-01,-0.28,training
1485,1928-04-01,-0.29,training
3216,1928-05-01,-0.30000000000000004,training
2469,1928-06-01,-0.41,training
2308,1928-07-01,-0.21,training
1197,1928-08-01,-0.25,training
363,1928-09-01,-0.2,training
3268,1928-10-01,-0.19,training
1534,1928-11-01,-0.09,training
1312,1928-12-01,-0.2,training
1067,1929-01-01,-0.47,training
2153,1929-02-01,-0.61,training
2624,1929-03-01,-0.34,training
2979,1929-04-01,-0.4,training
1448,1929-05-01,-0.39,training
1016,1929-06-01,-0.43,training
706,1929-07-01,-0.33,training
1955,1929-08-01,-0.29,training
2915,1929-09-01,-0.23,training
583,1929-10-01,-0.15,training
895,1929-11-01,-0.14,training
2707,1929-12-01,-0.55,training
2344,1930-01-01,-0.29,training
800,1930-02-01,-0.24,training
1641,1930-03-01,-0.08,training
1940,1930-04-01,-0.26,training
590,1930-05-01,-0.25,training
1500,1930-06-01,-0.19,training
491,1930-07-01,-0.17,training
1161,1930-08-01,-0.11,training
2127,1930-09-01,-0.11,training
2157,1930-10-01,-0.08,training
1478,1930-11-01,0.14,training
2613,1930-12-01,-0.09,training
1303,1931-01-01,-0.1,training
1758,1931-02-01,-0.22,training
2024,1931-03-01,-0.06,training
1757,1931-04-01,-0.21,training
2879,1931-05-01,-0.22,training
2752,1931-06-01,-0.06,training
3036,1931-07-01,0.01,training
2273,1931-08-01,0.0,training
3283,1931-09-01,-0.06,training
2815,1931-10-01,0.0,training
304,1931-11-01,-0.12,training
1337,1931-12-01,-0.1,training
2819,1932-01-01,0.13,training
2978,1932-02-01,-0.18,training
1596,1932-03-01,-0.2,training
1918,1932-04-01,-0.07,training
1058,1932-05-01,-0.22,training
955,1932-06-01,-0.30000000000000004,training
3057,1932-07-01,-0.24,training
2658,1932-08-01,-0.24,training
2581,1932-09-01,-0.11,training
2507,1932-10-01,-0.1,training
562,1932-11-01,-0.26,training
1107,1932-12-01,-0.22,training
3121,1933-01-01,-0.34,training
2565,1933-02-01,-0.32,training
794,1933-03-01,-0.29,training
2772,1933-04-01,-0.23,training
2924,1933-05-01,-0.25,training
295,1933-06-01,-0.32,training
2691,1933-07-01,-0.2,training
2497,1933-08-01,-0.23,training
2152,1933-09-01,-0.26,training
597,1933-10-01,-0.24,training
1468,1933-11-01,-0.31,training
3056,1933-12-01,-0.47,training
2276,1934-01-01,-0.27,training
804,1934-02-01,-0.04,training
2679,1934-03-01,-0.31,training
3270,1934-04-01,-0.27,training
1990,1934-05-01,-0.11,training
898,1934-06-01,-0.14,training
969,1934-07-01,-0.11,training
2295,1934-08-01,-0.1,training
2291,1934-09-01,-0.16,training
2923,1934-10-01,-0.11,training
368,1934-11-01,-0.01,training
1674,1934-12-01,-0.09,training
2055,1935-01-01,-0.37,training
2258,1935-02-01,0.11,training
3266,1935-03-01,-0.13,training
1638,1935-04-01,-0.35000000000000003,training
820,1935-05-01,-0.26,training
1997,1935-06-01,-0.23,training
1686,1935-07-01,-0.19,training
589,1935-08-01,-0.17,training
2865,1935-09-01,-0.17,training
1592,1935-10-01,-0.08,training
1591,1935-11-01,-0.29,training
2959,1935-12-01,-0.22,training
2729,1936-01-01,-0.29,training
330,1936-02-01,-0.39,training
768,1936-03-01,-0.23,training
3280,1936-04-01,-0.2,training
1681,1936-05-01,-0.17,training
182,1936-06-01,-0.19,training
2257,1936-07-01,-0.06,training
250,1936-08-01,-0.12,training
889,1936-09-01,-0.06,training
1093,1936-10-01,-0.04,training
1523,1936-11-01,-0.05,training
2256,1936-12-01,-0.04,training
1229,1937-01-01,-0.11,training
450,1937-02-01,0.05,training
2197,1937-03-01,-0.17,training
1996,1937-04-01,-0.17,training
398,1937-05-01,-0.07,training
294,1937-06-01,-0.08,training
236,1937-07-01,-0.05,training
2066,1937-08-01,0.03,training
33,1937-09-01,0.14,training
239,1937-10-01,0.1,training
100,1937-11-01,0.09,training
1531,1937-12-01,-0.12,training
2911,1938-01-01,0.0,training
2085,1938-02-01,-0.04,training
2800,1938-03-01,0.05,training
881,1938-04-01,0.05,training
1571,1938-05-01,-0.07,training
1137,1938-06-01,-0.17,training
740,1938-07-01,-0.09,training
207,1938-08-01,-0.04,training
3215,1938-09-01,0.03,training
1528,1938-10-01,0.11,training
470,1938-11-01,0.01,training
1273,1938-12-01,-0.26,training
2944,1939-01-01,-0.13,training
1100,1939-02-01,-0.12,training
333,1939-03-01,-0.2,training
3030,1939-04-01,-0.12,training
2232,1939-05-01,-0.07,training
730,1939-06-01,-0.08,training
1650,1939-07-01,-0.06,training
989,1939-08-01,-0.05,training
976,1939-09-01,0.0,training
222,1939-10-01,-0.03,training
308,1939-11-01,0.06,training
867,1939-12-01,0.4,training
811,1940-01-01,-0.15,training
477,1940-02-01,0.06,training
1248,1940-03-01,0.12,training
3015,1940-04-01,0.16,training
385,1940-05-01,0.05,training
1316,1940-06-01,0.05,training
2112,1940-07-01,0.1,training
848,1940-08-01,0.01,training
2287,1940-09-01,0.12,training
1225,1940-10-01,0.07,training
3239,1940-11-01,0.13,training
1803,1940-12-01,0.19,training
